Id | Name | Description | Properties 属性名 | 补充说明 | 缺失数据 | 缺失数据0515new | 安卓缺失数据0529 | ios缺失数据0606 | DI TABLE：统一在 hab_app_events
1 | session_start | 记录用户打开 App 的时间及启动来源。 | { user_id :<int> type : <int> bind: <int> } | type（来源渠道） 1： 2： 3： bind 1：安卓 2：iOS 3：WEB | type都是0 安卓bind有数据，ios bind没有数据 client_version数据都是空 platform字段数据iphone和ipad，缺少安卓 country字段有错误数据Old mobile version | 安卓：type都是0 ios: client_version, platform,device_id数据为空, country有错误数据mobile version, type都是0, bind都是1 |  |  | 
2 | session_end | 记录用户关闭 App 或会话结束的时间。 | { user_id :<int> } |  | 没有ios数据，安卓都为空。 device_id,client_version, platform 数据都是空 | ios: client_version, platform,device_id数据为空 |  |  | 
3 | game_enter | 进入游戏房，区分是从Game/recommended/开播按钮/Top games/Hot games/New games/Account页面my games/首页右上角search/好友半屏和全屏profile/rooms/好友的全屏profile等渠道打开，以及是自己开房间还是进别人的房间/swipe&play模式 | { user_id :<int> type : <int> status : <int> game_id: <int> session_id : <int> host_id : <int> room_type : <int> 0822 number <int> } 0930 status_game:<int> | status 1: 开房间 , 2: 进别人房间 type（来源渠道） 0926: type=1 改为从continue进入 1：Game 2：recommended 0905 3：开播按钮 4：Top games 5：Hot games 6：New games 7：Account页面my games 8：首页右上角search 0905 9：好友半屏profile 10：好友全屏profile 0905 11：rooms 12：好友的全屏profile等渠道打开 13.WEB交互进来 14.IM交互进来 15. swipe&play模式 （1031修改含义 swipe页面有导航栏） 0606game_enter_complete 16 My_favorite进入 17 My like进入 0728： 18 Activity 好友邀请加入游戏，点击Join按钮 0912: type=19: Editor's Choice (从play页面的Editor's Choice点击游戏) type=20 游戏里点击别的游戏 swipe页面无导航栏 1031新增 0523 room_type 房间类型 0 官方房间 1 公共房间 2 私人房间 0822 number:<int> 记录用户在被 Swipe 到时，该游戏在列表中的位置(第几位) 0930 status_game: 1 - 用户在swipe也点击进入游戏的时是击穿的 | 安卓没有device_id, client_version,platform ios 的 device_id, client_version, platform,device_id 为空 | 安卓：有异常数据status=3，host_id=0 ios: client_version, platform,device_id数据为空, 也有异常数据 status=3,host_id=0 |  |  | 
4 | friend_request | 发送添加好友请求，区分是从c/Top host/Top player/首页右上角search/My friends页面右上角添加按钮等渠道发送 0718 /邀请好友面板Add按钮 | { user_id :<int> other_ user_id :<int> type : <int> 0718: gender:<int> country:<string> other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> status:<int> 0805: game_id: <int> } | other_ user_id ： 对方id type（来源渠道） 1： Top host 2： Top player 3： 首页右上角search 4： My friends页面右上角添加按钮 5：房间半屏弹窗添swipe_screen_click加 6：好友详情页添加 7：my friends页面搜索添加 0718: 8: friends_panel 9: profile_panel 10: invite_friends_panel 0728: 11: ranking_panel 0929: 12: play页friend suggentions的add按钮 0718: status: 0: registered user 1: non-registered user gender & other_gender 0: female 1:male | 没有ios数据，安卓都为空 device_id, client_version, platform有字段但都为空 | 安卓：无最新数据 ios: client_verstopup_panel_enterion, platform,device_id数据为空 |  |  | 
5 | friend_add | 添加好友成功 | { user_id :<int> other_ user_id :<int> type : <int> } | other_ user_id ： 对方id type（来源渠道） 1： 2： 3： |  |  |  |  | 
新手流程 |  |  |  |  |  |  |  |  | 
6 | new_user_select_game | 记录新用户选择的游戏 | { user_id :<int> game_id: <int> } |  |  | 安卓：game_id, client_version, platform,device_id数据为空 |  |  | 
7 | new_user_continue | 用户点击continue | { user_id :<int> game_id: <int> 有多个gameId content:<String> } | content："[gameId, gameId, gameId ]" | 埋点无数据 | 埋点无数据 |  |  | 
8 | new_user_swipe | 用户滑动屏幕 （ 不再只针对新用户，i改为针对所有进入swipe&play模式的用户 ） | { user_id :<int> game_id: <int> status_game:<int> status_user:<int> second_diff<int> 0619 type : <int> 0822 number <int> 1113新增 status: <int> } | 0523 status_game游戏屏幕状态 1 横屏 2 竖屏 status_user 用户屏幕状态 1 横屏 2 竖屏 0811 秒 改 毫秒 second_diff视频播放时间 (s) 0619 type： 1: swipe in teach_swipe_view 2: swipe in normal swipe view 1031修改&新增 2： swipe页面有导航栏 3：swipe页面无导航栏 0822 number:<int> 记录用户在被 Swipe 到时，该游戏在列表中的位置(第几位) 1113新增 status: <int> 是否swipe成功 1：成功 0：不成功 | 没有ios数据，安卓都为空。device_id, client_version,platform数据为空 | 安卓： user_agent 数据为空 ios: client_version, platform,device_id数据为空 | 安卓：status_games和 status_user数据为空， second_diff取不到可不做 |  | 
9 | new_user_play | 用户点击play按钮开始（不再只针对新用户，i改为针对所有进入swipe&play模式的用户） 0619 新版版后，没有了play按钮，这个埋点在新版中舍弃 进入游戏查看swipe_screen_click点击类型type=1 | { user_id :<int> game_id: <int> } | private_feeds_panel | 安卓无数据， ios的 client_version, platform,device_id数据为空 | ios: client_version, platform,device_id数据为空 |  | ios无数据 | 
